No_of_Prawns,Age_of_Pond,Food_Intake,Season,Prawn_Count
100000,1,4,Summer,Cannot Predict
100000,2,4,Summer,Cannot Predict
100000,3,4,Summer,Cannot Predict
100000,4,4,Summer,Cannot Predict
100000,5,4,Summer,Cannot Predict
100000,6,4,Summer,Cannot Predict
100000,7,4,Summer,Cannot Predict
100000,8,4,Summer,Cannot Predict
100000,9,4,Summer,Cannot Predict
100000,10,4,Summer,Cannot Predict
100000,11,4.1,Summer,Cannot Predict
100000,12,4.2,Summer,Cannot Predict
100000,13,4.3,Summer,Cannot Predict
100000,14,4.4,Summer,Cannot Predict
100000,15,4.5,Summer,Cannot Predict
100000,16,4.6,Summer,Cannot Predict
100000,17,4.7,Summer,Cannot Predict
100000,18,4.8,Summer,Cannot Predict
100000,19,4.9,Summer,Cannot Predict
100000,20,5,Summer,Cannot Predict
100000,21,5.1,Summer,Cannot Predict
100000,22,5.6,Summer,Cannot Predict
100000,23,6.1,Summer,Cannot Predict
100000,24,6.6,Summer,Cannot Predict
100000,25,7.1,Summer,Cannot Predict
100000,26,7.6,Summer,134.8
100000,27,8.1,Summer,133.6
100000,28,8.6,Summer,132.4
100000,29,9.1,Summer,131.2
100000,30,9.6,Summer,130
100000,31,10.1,Summer,128.8
100000,32,10.6,Summer,127.6
100000,33,11.1,Summer,126.4
100000,34,11.6,Summer,125.2
100000,35,12.1,Summer,124
100000,36,12.6,Summer,122.8
100000,37,13.1,Summer,121.6
100000,38,13.6,Summer,120.4
100000,39,14.1,Summer,119.2
100000,40,14.6,Summer,118
100000,41,15.1,Summer,116.8
100000,42,15.6,Summer,115.6
100000,43,16.1,Summer,114.4
100000,44,16.6,Summer,113.2
100000,45,17.1,Summer,112
100000,46,17.6,Summer,110.8
100000,47,18.1,Summer,109.6
100000,48,18.6,Summer,108.4
100000,49,19.1,Summer,107.2
100000,50,19.6,Summer,106
100000,51,20.1,Summer,104.8
100000,52,20.6,Summer,103.6
100000,53,21.1,Summer,102.4
100000,54,21.6,Summer,101.2
100000,55,22.1,Summer,100
100000,56,22.1,Summer,98.5
100000,57,22.1,Summer,97
100000,58,22.1,Summer,95.5
100000,59,22.1,Summer,94
100000,60,22.1,Summer,92.5
100000,61,22.1,Summer,88
100000,62,22.1,Summer,86
100000,63,22.1,Summer,84
100000,64,22.1,Summer,82
100000,65,22.1,Summer,80
100000,66,22.1,Summer,78
100000,67,22.1,Summer,76
100000,68,22.1,Summer,74
100000,69,22.1,Summer,72
100000,70,22.1,Summer,70
100000,71,22.1,Summer,68
100000,72,22.1,Summer,66
100000,73,22.1,Summer,64
100000,74,22.1,Summer,62
100000,75,22.1,Summer,60
100000,76,22.1,Summer,58
100000,77,22.1,Summer,56
100000,78,22.1,Summer,54
100000,79,22.1,Summer,52
100000,80,50,Summer,50
100000,81,50,Summer,49.3
100000,82,50,Summer,48.7
100000,83,50,Summer,48
100000,84,50,Summer,47.3
100000,85,50,Summer,46.6
100000,86,50,Summer,46
100000,87,50,Summer,45.3
100000,88,50,Summer,44.6
100000,89,50,Summer,44
100000,90,50,Summer,43.3
100000,91,50,Summer,42.6
100000,92,50,Summer,42
100000,93,50,Summer,41.3
100000,94,50,Summer,40.6
100000,95,50,Summer,40
100000,96,50,Summer,39.3
100000,97,50,Summer,38.7
100000,98,50,Summer,38
100000,99,50,Summer,37.3
100000,100,50,Summer,36.6
100000,101,50,Summer,36
100000,102,50,Summer,35.3
100000,103,50,Summer,34.6
100000,104,50,Summer,34
100000,105,50,Summer,33.3
100000,106,50,Summer,32.6
100000,107,50,Summer,32
100000,108,50,Summer,31.3
100000,109,50,Summer,30.6
100000,110,50,Summer,29.9
100000,111,50,Summer,29.5
100000,112,50,Summer,29
100000,113,50,Summer,28.5
100000,114,50,Summer,28
100000,115,50,Summer,27.5
100000,116,50,Summer,27
100000,117,50,Summer,26.5
100000,118,50,Summer,26
100000,119,50,Summer,25.5
100000,120,50,Summer,25
100000,121,50,Summer,24.7
100000,122,50,Summer,24.4
100000,123,50,Summer,24.1
100000,124,50,Summer,23.8
100000,125,50,Summer,23.5
100000,126,50,Summer,23.2
100000,127,50,Summer,22.9
100000,128,50,Summer,22.6
100000,129,50,Summer,22.3
100000,130,50,Summer,22
100000,131,50,Summer,21.7
100000,132,50,Summer,21.4
100000,133,50,Summer,21.1
100000,134,50,Summer,20.8
100000,135,50,Summer,20.5
100000,136,50,Summer,20.2
100000,137,50,Summer,19.9
100000,138,50,Summer,19.6
100000,139,50,Summer,19.3
100000,140,50,Summer,19
100000,141,50,Summer,18.7
100000,142,50,Summer,18.4
100000,143,50,Summer,18.1
100000,144,50,Summer,17.8
100000,145,50,Summer,17.5
100000,146,50,Summer,17.2
100000,147,50,Summer,16.9
100000,148,50,Summer,16.6
100000,149,50,Summer,16.3
100000,150,50,Summer,16
100000,151,50,Summer,15.7
100000,152,50,Summer,15.4
100000,153,50,Summer,15.1
100000,154,50,Summer,14.8
100000,155,50,Summer,14.5
100000,156,50,Summer,14.2
100000,157,50,Summer,13.9
100000,158,50,Summer,13.6
100000,159,50,Summer,13.3
100000,160,50,Summer,13
100000,1,4,Winter,Cannot Predict
100000,2,4,Winter,Cannot Predict
100000,3,4,Winter,Cannot Predict
100000,4,4,Winter,Cannot Predict
100000,5,4,Winter,Cannot Predict
100000,6,4,Winter,Cannot Predict
100000,7,4,Winter,Cannot Predict
100000,8,4,Winter,Cannot Predict
100000,9,4,Winter,Cannot Predict
100000,10,4,Winter,Cannot Predict
100000,11,4.1,Winter,Cannot Predict
100000,12,4.2,Winter,Cannot Predict
100000,13,4.3,Winter,Cannot Predict
100000,14,4.4,Winter,Cannot Predict
100000,15,4.5,Winter,Cannot Predict
100000,16,4.6,Winter,Cannot Predict
100000,17,4.7,Winter,Cannot Predict
100000,18,4.8,Winter,Cannot Predict
100000,19,4.9,Winter,Cannot Predict
100000,20,5,Winter,Cannot Predict
100000,21,5.1,Winter,Cannot Predict
100000,22,5.6,Winter,Cannot Predict
100000,23,6.1,Winter,Cannot Predict
100000,24,6.6,Winter,Cannot Predict
100000,25,7.1,Winter,Cannot Predict
100000,26,7.6,Winter,140.8
100000,27,8.1,Winter,139.6
100000,28,8.6,Winter,138.4
100000,29,9.1,Winter,137.2
100000,30,9.6,Winter,136
100000,31,10.1,Winter,134.8
100000,32,10.6,Winter,133.6
100000,33,11.1,Winter,132.4
100000,34,11.6,Winter,131.2
100000,35,12.1,Winter,130
100000,36,12.6,Winter,128.8
100000,37,13.1,Winter,127.6
100000,38,13.6,Winter,126.4
100000,39,14.1,Winter,125.2
100000,40,14.6,Winter,124
100000,41,15.1,Winter,122.8
100000,42,15.6,Winter,121.6
100000,43,16.1,Winter,120.4
100000,44,16.6,Winter,119.2
100000,45,17.1,Winter,118
100000,46,17.6,Winter,116.8
100000,47,18.1,Winter,115.6
100000,48,18.6,Winter,114.4
100000,49,19.1,Winter,113.2
100000,50,19.6,Winter,112
100000,51,20.1,Winter,110.8
100000,52,20.6,Winter,109.6
100000,53,21.1,Winter,108.4
100000,54,21.6,Winter,107.2
100000,55,22.1,Winter,106
100000,56,22.1,Winter,104.8
100000,57,22.1,Winter,103.6
100000,58,22.1,Winter,102.4
100000,59,22.1,Winter,101.2
100000,60,22.1,Winter,100
100000,61,22.1,Winter,98.5
100000,62,22.1,Winter,97
100000,63,22.1,Winter,95.5
100000,64,22.1,Winter,94
100000,65,22.1,Winter,92.5
100000,66,22.1,Winter,88
100000,67,22.1,Winter,86
100000,68,22.1,Winter,84
100000,69,22.1,Winter,82
100000,70,22.1,Winter,80
100000,71,22.1,Winter,78
100000,72,22.1,Winter,76
100000,73,22.1,Winter,74
100000,74,22.1,Winter,72
100000,75,22.1,Winter,70
100000,76,22.1,Winter,68
100000,77,22.1,Winter,66
100000,78,22.1,Winter,64
100000,79,22.1,Winter,62
100000,80,50,Winter,60
100000,81,50,Winter,59.3
100000,82,50,Winter,58.7
100000,83,50,Winter,58
100000,84,50,Winter,57.3
100000,85,50,Winter,56.6
100000,86,50,Winter,56
100000,87,50,Winter,55.3
100000,88,50,Winter,54.6
100000,89,50,Winter,54
100000,90,50,Winter,53.3
100000,91,50,Winter,52.6
100000,92,50,Winter,52
100000,93,50,Winter,51.3
100000,94,50,Winter,50.6
100000,95,50,Winter,50
100000,96,50,Winter,49.3
100000,97,50,Winter,48.7
100000,98,50,Winter,48
100000,99,50,Winter,47.3
100000,100,50,Winter,46.6
100000,101,50,Winter,46
100000,102,50,Winter,45.3
100000,103,50,Winter,44.6
100000,104,50,Winter,44
100000,105,50,Winter,43.3
100000,106,50,Winter,42.6
100000,107,50,Winter,42
100000,108,50,Winter,41.3
100000,109,50,Winter,40.6
100000,110,50,Winter,40
100000,111,50,Winter,39.5
100000,112,50,Winter,39
100000,113,50,Winter,38.5
100000,114,50,Winter,38
100000,115,50,Winter,37.5
100000,116,50,Winter,37
100000,117,50,Winter,36.5
100000,118,50,Winter,36
100000,119,50,Winter,35.5
100000,120,50,Winter,35
100000,121,50,Winter,34.7
100000,122,50,Winter,34.4
100000,123,50,Winter,34.1
100000,124,50,Winter,33.8
100000,125,50,Winter,33.5
100000,126,50,Winter,33.2
100000,127,50,Winter,32.9
100000,128,50,Winter,32.6
100000,129,50,Winter,32.3
100000,130,50,Winter,32
100000,131,50,Winter,31.7
100000,132,50,Winter,31.4
100000,133,50,Winter,31.1
100000,134,50,Winter,30.8
100000,135,50,Winter,30.5
100000,136,50,Winter,30.2
100000,137,50,Winter,29.9
100000,138,50,Winter,29.6
100000,139,50,Winter,29.3
100000,140,50,Winter,29
100000,141,50,Winter,28.7
100000,142,50,Winter,28.4
100000,143,50,Winter,28.1
100000,144,50,Winter,27.8
100000,145,50,Winter,27.5
100000,146,50,Winter,27.2
100000,147,50,Winter,26.9
100000,148,50,Winter,26.6
100000,149,50,Winter,26.3
100000,150,50,Winter,26
100000,151,50,Winter,25.7
100000,152,50,Winter,25.4
100000,153,50,Winter,25.1
100000,154,50,Winter,24.8
100000,155,50,Winter,24.5
100000,156,50,Winter,24.2
100000,157,50,Winter,23.9
100000,158,50,Winter,23.6
100000,159,50,Winter,23.3
100000,160,50,Winter,23
100000,1,4,Rainy,Cannot Predict
100000,2,4,Rainy,Cannot Predict
100000,3,4,Rainy,Cannot Predict
100000,4,4,Rainy,Cannot Predict
100000,5,4,Rainy,Cannot Predict
100000,6,4,Rainy,Cannot Predict
100000,7,4,Rainy,Cannot Predict
100000,8,4,Rainy,Cannot Predict
100000,9,4,Rainy,Cannot Predict
100000,10,4,Rainy,Cannot Predict
100000,11,4.1,Rainy,Cannot Predict
100000,12,4.2,Rainy,Cannot Predict
100000,13,4.3,Rainy,Cannot Predict
100000,14,4.4,Rainy,Cannot Predict
100000,15,4.5,Rainy,Cannot Predict
100000,16,4.6,Rainy,Cannot Predict
100000,17,4.7,Rainy,Cannot Predict
100000,18,4.8,Rainy,Cannot Predict
100000,19,4.9,Rainy,Cannot Predict
100000,20,5,Rainy,Cannot Predict
100000,21,5.1,Rainy,Cannot Predict
100000,22,5.6,Rainy,Cannot Predict
